	input	category	prediction
46	Joshua teleported the cookie beside the box to a girl .	do_dative_to_pp_dative	Joshua ( 1 ) ; * cookie ( 9 ) ; * box ( 17 ) ; girl ( 25 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 25 ) AND nmod . beside ( 9 , 17 )
47	A monkey teleported the cake to Ava .	do_dative_to_pp_dative	monkey ( 1 ) ; * cake ( 9 ) ; Ava ( 17 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 17 )
48	The dog teleported a cookie on a table to Harper .	do_dative_to_pp_dative	* dog ( 1 ) ; cookie ( 9 ) ; table ( 17 ) ; Harper ( 25 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 25 ) AND nmod . on ( 9 , 17 )
49	Liam teleported the cookie in a car to a boy .	do_dative_to_pp_dative	Liam ( 1 ) ; * cookie ( 9 ) ; car ( 17 ) ; boy ( 23 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . in ( 9 , 17 ) AND recipient ( 5 , 23 )
50	Liam teleported the box beside the stage to a tourist .	do_dative_to_pp_dative	Liam ( 1 ) ; * box ( 5 ) ; * stage ( 9 ) ; tourist ( 13 ) ; teleport ( 17 ) AND agent ( 17 , 1 ) AND theme ( 17 , 5 ) AND nmod . beside ( 5 , 9 ) AND recipient ( 17 , 13 )
51	Sophia teleported the cake on a table to a girl .	do_dative_to_pp_dative	Sophia ( 1 ) ; * cake ( 9 ) ; table ( 17 ) ; girl ( 25 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND destination ( 5 , 25 ) AND nmod . on ( 9 , 17 )
52	Julian teleported the cookie beside the table to a girl .	do_dative_to_pp_dative	Julian ( 1 ) ; * cookie ( 9 ) ; girl ( 27 ) ; * table ( 33 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 27 ) AND nmod . beside ( 9 , 33 )
53	Emma teleported the potato beside the stool to the girl .	do_dative_to_pp_dative	Emma ( 1 ) ; * potato ( 5 ) ; * stool ( 9 ) ; * girl ( 13 ) ; teleport ( 17 ) AND agent ( 17 , 1 ) AND theme ( 17 , 5 ) AND destination ( 17 , 13 ) AND nmod . beside ( 5 , 9 )
54	The lawyer hoped that the tourist believed that Ava teleported the cake beside the table to the girl .	do_dative_to_pp_dative	* lawyer ( 1 ) ; * tourist ( 9 ) ; Ava ( 17 ) ; * cake ( 25 ) ; * table ( 33 ) ; * girl ( 41 ) ; hope ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND believe ( 13 ) AND agent ( 13 , 9 ) AND ccomp ( 13 , 21 ) AND teleport ( 21 ) AND agent ( 21 , 17 ) AND theme ( 21 , 25 ) AND recipient ( 21 , 41 ) AND nmod . beside ( 25 , 33 )
55	Emma teleported the donut to Benjamin .	do_dative_to_pp_dative	Emma ( 1 ) ; * donut ( 9 ) ; Benjamin ( 17 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 17 )
56	Luna teleported a cake to Sophia .	do_dative_to_pp_dative	Luna ( 1 ) ; cake ( 9 ) ; Sophia ( 17 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 17 )
57	The boy teleported a newspaper beside a road to the mouse .	do_dative_to_pp_dative	* boy ( 1 ) ; newspaper ( 9 ) ; road ( 17 ) ; * mouse ( 25 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 25 ) AND nmod . beside ( 9 , 17 )
58	Emma teleported the cake in a room to the boy .	do_dative_to_pp_dative	Emma ( 1 ) ; * cake ( 9 ) ; room ( 17 ) ; * boy ( 23 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . in ( 9 , 17 ) AND recipient ( 5 , 23 )
59	Liam teleported the raisin to a baby .	do_dative_to_pp_dative	Liam ( 1 ) ; * raisin ( 9 ) ; baby ( 17 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 17 )
60	A cat baked a girl on the desk .	obj_omitted_transitive_to_transitive	cat ( 1 ) ; girl ( 5 ) ; desk ( 9 ) ; bake ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . on ( 5 , 9 )
61	Natalie respected that the girl baked the box .	obj_omitted_transitive_to_transitive	Natalie ( 1 ) ; * girl ( 9 ) ; * box ( 17 ) ; respect ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND bake ( 13 ) AND agent ( 13 , 9 ) AND theme ( 13 , 17 )
62	Emma baked the cookie .	obj_omitted_transitive_to_transitive	Emma ( 1 ) ; * cookie ( 5 ) ; bake ( 9 ) AND agent ( 9 , 1 ) AND theme ( 9 , 5 )
63	A sailor baked a cake .	obj_omitted_transitive_to_transitive	sailor ( 1 ) ; cake ( 5 ) ; bake ( 9 ) AND agent ( 9 , 1 ) AND theme ( 9 , 5 )
64	Jackson baked Jayden .	obj_omitted_transitive_to_transitive	Jackson ( 1 ) ; Jayden ( 5 ) ; bake ( 9 ) AND agent ( 9 , 1 ) AND theme ( 9 , 5 )
65	Liam baked a girl on a table .	obj_omitted_transitive_to_transitive	Liam ( 1 ) ; girl ( 9 ) ; table ( 17 ) ; bake ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . on ( 9 , 17 )
66	Emma baked Christopher .	obj_omitted_transitive_to_transitive	Emma ( 1 ) ; Christopher ( 9 ) ; bake ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
67	The cat baked the frog on the table .	obj_omitted_transitive_to_transitive	* cat ( 1 ) ; * frog ( 5 ) ; * table ( 9 ) ; bake ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . on ( 5 , 9 )
68	Emma baked the drink beside the stool .	obj_omitted_transitive_to_transitive	Emma ( 1 ) ; * drink ( 5 ) ; * stool ( 9 ) ; bake ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . beside ( 5 , 9 )
69	Emma baked Hannah .	obj_omitted_transitive_to_transitive	Emma ( 1 ) ; Hannah ( 9 ) ; bake ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
70	Olivia baked the tool beside the table .	obj_omitted_transitive_to_transitive	Olivia ( 1 ) ; * tool ( 5 ) ; * table ( 9 ) ; bake ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . beside ( 5 , 9 )
71	A girl baked the boy in the trap .	obj_omitted_transitive_to_transitive	girl ( 1 ) ; * boy ( 9 ) ; * trap ( 17 ) ; bake ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . in ( 9 , 17 )
72	A girl liked that the patient baked a donut on a windowsill .	obj_omitted_transitive_to_transitive	girl ( 1 ) ; * patient ( 5 ) ; donut ( 9 ) ; windowsill ( 13 ) ; like ( 17 ) AND agent ( 17 , 1 ) AND ccomp ( 17 , 21 ) AND bake ( 21 ) AND agent ( 21 , 5 ) AND theme ( 21 , 9 ) AND nmod . on ( 9 , 13 )
73	Benjamin hoped that a teacher baked the boy .	obj_omitted_transitive_to_transitive	Benjamin ( 1 ) ; teacher ( 9 ) ; * boy ( 17 ) ; hope ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND bake ( 13 ) AND agent ( 13 , 9 ) AND theme ( 13 , 17 )
74	Aiden baked Liam .	obj_omitted_transitive_to_transitive	Aiden ( 1 ) ; Liam ( 5 ) ; bake ( 9 ) AND agent ( 9 , 1 ) AND theme ( 9 , 5 )
75	The frog baked a cake .	obj_omitted_transitive_to_transitive	* frog ( 1 ) ; cake ( 9 ) ; bake ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
76	Emma baked the donut beside a table .	obj_omitted_transitive_to_transitive	Emma ( 1 ) ; * donut ( 5 ) ; table ( 9 ) ; bake ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . beside ( 5 , 9 )
77	Carter baked Emma .	obj_omitted_transitive_to_transitive	Carter ( 1 ) ; Emma ( 9 ) ; bake ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
78	The president baked a cake in a vehicle .	obj_omitted_transitive_to_transitive	* president ( 1 ) ; cake ( 9 ) ; vehicle ( 17 ) ; bake ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . in ( 5 , 17 )
79	The spokesman baked a pig .	obj_omitted_transitive_to_transitive	* spokesman ( 1 ) ; pig ( 9 ) ; bake ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
80	A strawberry beside a machine was thrown by a lion on a box .	obj_pp_to_subj_pp	strawberry ( 1 ) ; machine ( 5 ) ; lion ( 9 ) ; box ( 13 ) ; throw ( 17 ) AND agent ( 17 , 9 ) AND theme ( 17 , 1 ) AND nmod . beside ( 1 , 5 ) AND nmod . on ( 17 , 13 )
81	The boy on a towel gave the frog the cake on a booklet .	obj_pp_to_subj_pp	* boy ( 1 ) ; towel ( 8 ) ; * frog ( 15 ) ; * cake ( 22 ) ; booklet ( 29 ) ; give ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 15 ) AND theme ( 5 , 22 ) AND nmod . on ( 1 , 8 ) AND nmod . on ( 22 , 29 )
82	The bird in a box was awarded a ball by the girl beside the machine .	obj_pp_to_subj_pp	* bird ( 1 ) ; box ( 5 ) ; ball ( 9 ) ; * girl ( 13 ) ; * machine ( 17 ) ; award ( 21 ) AND agent ( 21 , 13 ) AND recipient ( 21 , 1 ) AND theme ( 21 , 9 ) AND nmod . in ( 1 , 5 ) AND nmod . beside ( 13 , 17 )
83	A producer on a table was given the pumpkin beside a cabinet .	obj_pp_to_subj_pp	producer ( 12 ) ; table ( 17 ) ; * pumpkin ( 22 ) ; cabinet ( 27 ) ; give ( 5 ) AND recipient ( 5 , 12 ) AND theme ( 5 , 22 ) AND nmod . on ( 12 , 17 ) AND nmod . beside ( 22 , 27 )
84	The friend in a house beside a stage needed to sneeze .	obj_pp_to_subj_pp	* friend ( 1 ) ; house ( 5 ) ; stage ( 9 ) ; need_to_sneeze ( 13 ) AND agent ( 13 , 1 ) AND nmod . in ( 1 , 5 ) AND nmod . beside ( 5 , 9 )
85	The cake on the bed was rolled by the girl in a tin .	obj_pp_to_subj_pp	* cake ( 1 ) ; * bed ( 5 ) ; * girl ( 9 ) ; tin ( 13 ) ; roll ( 17 ) AND agent ( 17 , 9 ) AND theme ( 17 , 1 ) AND nmod . on ( 1 , 5 ) AND nmod . in ( 17 , 13 )
86	The boy in a bush liked Ryan .	obj_pp_to_subj_pp	* boy ( 1 ) ; bush ( 9 ) ; Ryan ( 5 ) ; like ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . in ( 1 , 9 )
87	The basket on the keyboard was eaten .	obj_pp_to_subj_pp	* basket ( 1 ) ; * keyboard ( 9 ) ; eat ( 5 ) AND theme ( 5 , 1 ) AND nmod . on ( 1 , 9 )
88	The chief beside the skull rolled Grace .	obj_pp_to_subj_pp	* chief ( 1 ) ; * skull ( 9 ) ; Grace ( 17 ) ; roll ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 17 ) AND nmod . beside ( 1 , 9 )
89	The duck beside a table was served the flag .	obj_pp_to_subj_pp	* duck ( 1 ) ; table ( 9 ) ; * flag ( 17 ) ; serve ( 5 ) AND recipient ( 5 , 1 ) AND theme ( 5 , 17 ) AND nmod . beside ( 1 , 9 )
90	The moose on the computer liked James .	obj_pp_to_subj_pp	* moose ( 1 ) ; * computer ( 9 ) ; James ( 17 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 17 ) AND nmod . on ( 1 , 9 )
91	The boy beside a yacht cleaned .	obj_pp_to_subj_pp	* boy ( 1 ) ; yacht ( 8 ) ; clean ( 4 ) AND agent ( 4 , 1 ) AND nmod . beside ( 1 , 8 )
92	A cat on the computer noticed that the teacher beside the book valued the boy .	obj_pp_to_subj_pp	cat ( 1 ) ; computer ( 9 ) ; * teacher ( 17 ) ; * book ( 23 ) ; * boy ( 29 ) ; notice ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND value ( 13 ) AND agent ( 13 , 17 ) AND theme ( 13 , 29 ) AND nmod . on ( 1 , 9 ) AND nmod . beside ( 17 , 23 )
93	The cake on a bed was rolled .	obj_pp_to_subj_pp	* cake ( 1 ) ; bed ( 9 ) ; roll ( 5 ) AND theme ( 5 , 1 ) AND nmod . on ( 1 , 9 )
94	The cookie beside a bed was disintegrated by a father in the cupboard .	obj_pp_to_subj_pp	* cookie ( 1 ) ; bed ( 9 ) ; father ( 17 ) ; * cupboard ( 25 ) ; disintegrate ( 5 ) AND agent ( 5 , 17 ) AND theme ( 5 , 1 ) AND nmod . beside ( 1 , 9 ) AND nmod . in ( 5 , 25 )
95	A rose beside a table was eaten by a king in the house .	obj_pp_to_subj_pp	rose ( 1 ) ; table ( 9 ) ; king ( 17 ) ; * house ( 25 ) ; eat ( 5 ) AND agent ( 5 , 17 ) AND theme ( 5 , 1 ) AND nmod . beside ( 1 , 9 ) AND nmod . in ( 5 , 25 )
96	The cake in the room was seen .	obj_pp_to_subj_pp	* cake ( 1 ) ; * room ( 5 ) ; see ( 9 ) AND theme ( 9 , 1 ) AND nmod . in ( 1 , 5 )
97	A girl in the house forwarded Victoria a gumball in the shoe .	obj_pp_to_subj_pp	girl ( 1 ) ; * house ( 5 ) ; Victoria ( 9 ) ; gumball ( 13 ) ; * shoe ( 17 ) ; forward ( 21 ) AND agent ( 21 , 1 ) AND recipient ( 21 , 9 ) AND theme ( 21 , 13 ) AND nmod . in ( 1 , 5 ) AND nmod . in ( 13 , 17 )
98	The raisin beside the table was valued by a bear beside a stage .	obj_pp_to_subj_pp	* raisin ( 1 ) ; * table ( 5 ) ; bear ( 9 ) ; stage ( 13 ) ; value ( 17 ) AND agent ( 17 , 9 ) AND theme ( 17 , 1 ) AND nmod . beside ( 1 , 5 ) AND nmod . beside ( 9 , 13 )
99	A horse in the house was given the hammer beside a bed .	obj_pp_to_subj_pp	horse ( 1 ) ; * hammer ( 9 ) ; bed ( 17 ) ; house ( 25 ) ; give ( 5 ) AND theme ( 5 , 1 ) AND recipient ( 5 , 9 ) AND nmod . in ( 1 , 25 ) AND nmod . beside ( 9 , 17 )
100	A cockroach cleaned the cookie on a sock .	obj_to_subj_common	cockroach ( 1 ) ; * cookie ( 9 ) ; sock ( 17 ) ; clean ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . on ( 9 , 17 )
101	The cockroach slid a guest .	obj_to_subj_common	* cockroach ( 1 ) ; guest ( 8 ) ; slide ( 4 ) AND agent ( 4 , 1 ) AND theme ( 4 , 8 )
102	The cockroach lended the girl the cake .	obj_to_subj_common	* cockroach ( 1 ) ; * girl ( 9 ) ; * cake ( 17 ) ; lend ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
103	A cockroach burned the sandwich .	obj_to_subj_common	cockroach ( 1 ) ; * sandwich ( 9 ) ; burn ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
104	The cockroach lended the child a cake .	obj_to_subj_common	* cockroach ( 1 ) ; * child ( 9 ) ; cake ( 17 ) ; lend ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
105	The cockroach split Isabella .	obj_to_subj_common	* cockroach ( 1 ) ; Isabella ( 9 ) ; split ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
106	A cockroach fed the girl the cake .	obj_to_subj_common	cockroach ( 1 ) ; * girl ( 9 ) ; * cake ( 17 ) ; feed ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
107	William hoped that a cockroach ate .	obj_to_subj_common	William ( 1 ) ; cockroach ( 9 ) ; hope ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND eat ( 13 ) AND agent ( 13 , 9 )
108	A cockroach observed .	obj_to_subj_common	cockroach ( 1 ) ; observe ( 3 ) AND agent ( 3 , 1 )
109	The cockroach passed a judge the donut on the stage .	obj_to_subj_common	* cockroach ( 1 ) ; judge ( 9 ) ; * donut ( 17 ) ; * stage ( 25 ) ; pass ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 ) AND nmod . on ( 5 , 25 )
110	A girl hoped that the cockroach gave a cake beside the bed to a cat .	obj_to_subj_common	girl ( 1 ) ; * cockroach ( 5 ) ; cake ( 9 ) ; * bed ( 13 ) ; cat ( 17 ) ; hope ( 21 ) AND agent ( 21 , 1 ) AND ccomp ( 21 , 25 ) AND give ( 25 ) AND agent ( 25 , 5 ) AND theme ( 25 , 9 ) AND recipient ( 25 , 17 ) AND nmod . beside ( 9 , 13 )
111	A cockroach liked the cake .	obj_to_subj_common	cockroach ( 1 ) ; * cake ( 5 ) ; like ( 9 ) AND agent ( 9 , 1 ) AND theme ( 9 , 5 )
112	The cockroach lended Charlotte the cookie .	obj_to_subj_common	* cockroach ( 1 ) ; Charlotte ( 9 ) ; * cookie ( 13 ) ; lend ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 13 )
113	The cockroach passed Emma a cake .	obj_to_subj_common	* cockroach ( 1 ) ; Emma ( 9 ) ; cake ( 17 ) ; pass ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
114	The cockroach studied .	obj_to_subj_common	* cockroach ( 1 ) ; study ( 3 ) AND agent ( 3 , 1 )
115	A cockroach painted Lucas .	obj_to_subj_common	cockroach ( 1 ) ; Lucas ( 9 ) ; paint ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
116	Nora said that the cockroach painted the box on a table .	obj_to_subj_common	Nora ( 1 ) ; * cockroach ( 5 ) ; * box ( 9 ) ; table ( 13 ) ; say ( 3 ) AND agent ( 3 , 1 ) AND ccomp ( 3 , 17 ) AND paint ( 17 ) AND agent ( 17 , 5 ) AND theme ( 17 , 9 ) AND nmod . on ( 9 , 13 )
117	Emma liked that the cockroach ate .	obj_to_subj_common	Emma ( 1 ) ; * cockroach ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND eat ( 13 ) AND agent ( 13 , 9 )
118	A cockroach liked a strawberry on the mattress .	obj_to_subj_common	cockroach ( 1 ) ; strawberry ( 5 ) ; mattress ( 9 ) ; like ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . on ( 5 , 9 )
119	The girl said that the cockroach dreamed to read .	obj_to_subj_common	* girl ( 1 ) ; * cockroach ( 9 ) ; say ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND dream ( 13 ) AND agent ( 13 , 9 ) AND xcomp ( 13 , 17 ) AND read ( 17 )
120	Charlie offered a flag beside a trophy to Liam .	obj_to_subj_proper	Charlie ( 1 ) ; flag ( 5 ) ; trophy ( 9 ) ; Liam ( 13 ) ; offer ( 17 ) AND agent ( 17 , 1 ) AND theme ( 17 , 5 ) AND recipient ( 17 , 13 ) AND nmod . beside ( 5 , 9 )
121	Charlie studied a shell in the house .	obj_to_subj_proper	Charlie ( 1 ) ; shell ( 9 ) ; * house ( 17 ) ; study ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . in ( 5 , 17 )
122	Charlie rolled the doll .	obj_to_subj_proper	Charlie ( 1 ) ; * doll ( 9 ) ; roll ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
123	Charlie helped a donut on the table .	obj_to_subj_proper	Charlie ( 1 ) ; donut ( 9 ) ; * table ( 17 ) ; help ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . on ( 9 , 17 )
124	Charlie ate the cookie on a table .	obj_to_subj_proper	Charlie ( 1 ) ; * cookie ( 5 ) ; table ( 9 ) ; eat ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . on ( 5 , 9 )
125	Charlie gave the cake on a seat to the girl .	obj_to_subj_proper	Charlie ( 1 ) ; * cake ( 5 ) ; seat ( 9 ) ; * girl ( 13 ) ; give ( 17 ) AND agent ( 17 , 1 ) AND theme ( 17 , 5 ) AND recipient ( 17 , 13 ) AND nmod . on ( 5 , 9 )
126	Charlie inflated Lily .	obj_to_subj_proper	Charlie ( 1 ) ; Lily ( 9 ) ; inflate ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
127	Charlie gave a cookie to a girl .	obj_to_subj_proper	Charlie ( 1 ) ; cookie ( 9 ) ; girl ( 17 ) ; give ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 17 )
128	Charlie ate the girl on a stage .	obj_to_subj_proper	Charlie ( 1 ) ; * girl ( 5 ) ; stage ( 9 ) ; eat ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . on ( 5 , 9 )
129	Charlie offered Savannah the cake on a bed .	obj_to_subj_proper	Charlie ( 1 ) ; Savannah ( 5 ) ; * cake ( 9 ) ; bed ( 13 ) ; offer ( 17 ) AND agent ( 17 , 1 ) AND recipient ( 17 , 5 ) AND theme ( 17 , 9 ) AND nmod . on ( 9 , 13 )
130	Charlie rolled Isabella .	obj_to_subj_proper	Charlie ( 1 ) ; Isabella ( 9 ) ; roll ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
131	Charlie liked Harper .	obj_to_subj_proper	Charlie ( 1 ) ; Harper ( 5 ) ; like ( 9 ) AND agent ( 9 , 1 ) AND theme ( 9 , 5 )
132	Charlie liked the crystal in a car .	obj_to_subj_proper	Charlie ( 1 ) ; * crystal ( 5 ) ; car ( 9 ) ; like ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . in ( 5 , 9 )
133	Charlie fed the zebra the nail .	obj_to_subj_proper	Charlie ( 1 ) ; * zebra ( 5 ) ; * nail ( 9 ) ; feed ( 13 ) AND agent ( 13 , 1 ) AND recipient ( 13 , 5 ) AND theme ( 13 , 9 )
134	Charlie gave the puppy the chemical .	obj_to_subj_proper	Charlie ( 1 ) ; * puppy ( 9 ) ; * chemical ( 17 ) ; give ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
135	Thomas said that Charlie ate the cookie .	obj_to_subj_proper	Thomas ( 1 ) ; Charlie ( 9 ) ; * cookie ( 17 ) ; say ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND eat ( 13 ) AND agent ( 13 , 9 ) AND theme ( 13 , 17 )
136	Charlie inflated the cake on a table .	obj_to_subj_proper	Charlie ( 1 ) ; * cake ( 9 ) ; table ( 17 ) ; inflate ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . on ( 9 , 17 )
137	Charlie sketched the girl in the car .	obj_to_subj_proper	Charlie ( 1 ) ; * girl ( 9 ) ; * car ( 17 ) ; sketch ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . in ( 9 , 17 )
138	Charlie painted a girl beside a table .	obj_to_subj_proper	Charlie ( 1 ) ; girl ( 9 ) ; table ( 17 ) ; paint ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . beside ( 9 , 17 )
139	Charlie helped a cake beside a beast .	obj_to_subj_proper	Charlie ( 1 ) ; cake ( 9 ) ; beast ( 17 ) ; help ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . beside ( 9 , 17 )
140	A coach liked that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	coach ( 1 ) ; * cobra ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND roll ( 13 ) AND agent ( 13 , 9 )
141	Emma declared that a cobra split .	only_seen_as_transitive_subj_as_unacc_subj	Emma ( 1 ) ; cobra ( 9 ) ; declare ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND split ( 13 ) AND agent ( 13 , 9 )
142	Lily wished that the cobra floated .	only_seen_as_transitive_subj_as_unacc_subj	Lily ( 1 ) ; * cobra ( 9 ) ; wish ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND float ( 13 ) AND theme ( 13 , 9 )
143	Amelia supported that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	Amelia ( 1 ) ; * cobra ( 9 ) ; support ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND roll ( 13 ) AND agent ( 13 , 9 )
144	Emily confessed that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	Emily ( 1 ) ; cobra ( 9 ) ; confess ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND burn ( 13 ) AND agent ( 13 , 9 )
145	The dog tolerated that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	* dog ( 1 ) ; * cobra ( 9 ) ; tolerate ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND roll ( 13 ) AND agent ( 13 , 9 )
146	Ella dreamed that the cobra slid .	only_seen_as_transitive_subj_as_unacc_subj	Ella ( 1 ) ; * cobra ( 9 ) ; dream ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND slide ( 13 ) AND agent ( 13 , 9 )
147	A girl respected that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 1 ) ; * cobra ( 9 ) ; respect ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND roll ( 13 ) AND agent ( 13 , 9 )
148	Elijah wished that the cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Elijah ( 1 ) ; * cobra ( 9 ) ; wish ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND freeze ( 13 ) AND theme ( 13 , 9 )
149	A governor believed that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	governor ( 1 ) ; cobra ( 9 ) ; believe ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND burn ( 13 ) AND agent ( 13 , 9 )
150	The coach liked that the cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	* coach ( 1 ) ; * cobra ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND freeze ( 13 ) AND theme ( 13 , 9 )
151	The girl liked that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	* girl ( 1 ) ; cobra ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND freeze ( 13 ) AND agent ( 13 , 9 )
152	A cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	cobra ( 1 ) ; burn ( 4 ) AND agent ( 4 , 1 )
153	Olivia hoped that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Olivia ( 1 ) ; cobra ( 9 ) ; hope ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND freeze ( 13 ) AND theme ( 13 , 9 )
