,example_id,sentence
835,835,The only drawback was it took too long for our waiter to come back and take our order.
836,836,"Sometimes during restaurant week, I feel like something ends up lacking--whether its the food, or the service since the staff may not want to spend as much time on you as another guest ordering off the regular menu."
837,837,Couldn't wait to get out of there.
838,838,"I think possibly ever.... Yep, ever."
839,839,"Went to get a basic oil change at meineke, got hit with a bill of ""all the things wrong with my car"", left immediately."
840,840,Can get loud if crowded.
841,841,"what is captured during the conceptual process does n't add up to a sufficient explanation of what the final dance work , the selection , became in its final form ."
842,842,"if you 're not a prepubescent girl , you 'll be laughing at britney spears ' movie-starring debut whenever it does n't have you impatiently squinting at your watch ."
843,843,"However, the noise level can get so high it's hard to hear the person right across from the table from you."
844,844,"So I made an appointment for the next Monday and raced like a jet to Zumba, but the place was very bad and unattractive."
845,845,was just OK not anything to go back for.
846,846,There were very few booths.
847,847,I'm paying almost what I paid last year at a different studio.
848,848,It was a quiet night so the noise level was non existant.
849,849,The pork chop is their signature dish and somehow it tastes different every time you try.
850,850,"it 's not that waiting for happiness is a bad film , because it is n't ."
851,851,"Seven of us dined there and it was lovely. We had a great time, enjoyed the food and the friendship. The fish and lamb were perfectly done."
852,852,"well before it 's over , beijing bicycle begins spinning its wheels ."
853,853,"it may be a prize winner , but teacher is a bomb ."
854,854,The food was ok. I thought it would be better for the prices. They had a band playing and it was way to loud. You had to yell to talk to the person next to you durning dinner.
855,855,that 's the only sane rationale i can think of for swimfan 's existence .
856,856,"an intelligent , moving and invigorating film ."
857,857,Got to wait nearly 30 minutes after calling to change rooms
858,858,We were celebrating a birthday and the birthday person got a special dessert and everyone was treated like royalty.
859,859,what really surprises about wisegirls is its low-key quality and genuine tenderness .
860,860,Rescheduled for a day I would be home.
861,861,"Even though it is located in a strip mall, once inside the diner forgets that. The surroundings are elegant but casual, the service impeccable and the food delicious!"
862,862,tom green just gives them a bad odor .
863,863,we walked into the room but we did not get a warm welcome from the hostess.
864,864,Can't believe we could have been here before.
865,865,So maybe I'm too picky.
866,866,I did not give up.
867,867,faultlessly professional but finally slight .
868,868,"As out of towners, we relied on the recommendation from friends who live in DC."
869,869,"although it 's a bit smug and repetitive , this documentary engages your brain in a way few current films do ."
870,870,Still won't admit when they were wrong.
871,871,A lot of wetlands and lakes.
872,872,thanks for your response.
873,873,I took a hand full of there cards and will tell everyone I know how great they are!!!
874,874,"I don't know if they allow smoking out on the deck, or if it was carried over from the dock."
875,875,We have been coming here for years but our last 2 car washes have been terrible.
876,876,The A/C tech.
877,877,This was aniversary dinner......outstanding...what else can we say.....
878,878,"a mawkish , implausible platonic romance that makes chaplin 's city lights seem dispassionate by comparison ."
879,879,"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself"
880,880,The ice cream and the food was pretty good.
881,881,He took it like a champ and just seemed to take it in stride.
882,882,"The architecture and ambiance are great at Mercer Kitchen, but the food leaves something to be desired."
883,883,"We went on a very hectic night...but were seated right at our reservation time. The Coq au Vin was very good, unusual presentation and the mousse was also worth getting."
884,884,Now THIS is a steakhouse.
885,885,Our reservations were made weeks in advance including a request for a view.
886,886,MMMm!
887,887,"The only problem we had was a large , loud group of 20-somethings was seated behind us, which eliminated the romantic aspect of our dinner date."
888,888,And some lighting fixtures are literally falling apart.
889,889,"when it 's all wet , blue crush is highly enjoyable ."
890,890,Disappointing for foodies who were expecting more from Jean -Georges trained talent
891,891,"But Amazon wouldn't partner with anyone that couldn't fulfill my delivery efficiently and competently, right ??"
892,892,"Having changed hands so often one never knows what to expect, but service was charming and food excellent this time, and the view is incomparable."
893,893,Very disappointing. Had to move our table due to noise then had a substandard meal. WOn't be going back.
894,894,"Well presented tasty food - attentive service. We saw all age groups. Although we didn't have the ""small portion"" menu it appears many others did. We liked the pre-fix options as well."
895,895,"Service impecable, everyone made you feel like you were the only diners."
896,896,got seated late though we had a reservation (second time this has happened)...food was decent but not great.
897,897,"This was a pleasant surprise for us. There were 3 in our party, there were many choices of foods of interest for us, in fact it was hard to choose. We will return."
898,898,It didn't need anything else.
899,899,We will return & recommend it to others.
900,900,"Dishes were brought out with timing in mind, so at no point were there more than two or three items on the table."
901,901,a subtle variation on i spit on your grave in which our purported heroine pathologically avenges a hatred for men .
902,902,"one of the most haunting , viciously honest coming-of-age films in recent memory ."
903,903,a budget affair that exposes the generally sad existence of the bedouins while providing a precious twinkle of insight into their lives .
904,904,I posted a pic with touchup for my liner and brows.
905,905,"That really sucks, was it your fault?"
906,906,it settles for being merely grim .
907,907,"My only complaint would be the cost of parts, and the poor design."
908,908,"We had dined at the Valentino in Santa Monica and were very impressed, so we were excited about trying the tasting menu with wine pairing at the Las Vegas restaurant."
909,909,it 's never a good sign when a film 's star spends the entirety of the film in a coma .
910,910,The ceasar salad was fair.
911,911,I highly recommend eating at this place if you love finding hair in your food.
912,912,"602-738-6604
www.pillartopost.com"
913,913,The only negative was the prices.
914,914,"There is only 1 ""party room"" where up to 3 birthday parties can be held at the same time."
915,915,Salmon entree and service was excellent.
916,916,"a pleasant enough movie , held together by skilled ensemble actors ."
917,917,The next day after searching on Yelp for shops in the area I stumbled across Community Tire Pros and Auto Repair.
918,918,Appeared to be short of staff.
919,919,a worthy tribute to a great humanitarian and her vibrant ` co-stars . '
920,920,"What's more, if you run out of a side dish, you can ask for more - same goes for rice and it's at no extra charge."
921,921,This was a little disconcerting.
922,922,EXCELLENT FOOD / EXCELLENT SERVICE!! Will be back!
923,923,"watching scarlet diva , one is poised for titillation , raw insight or both ."
924,924,We wanted to verify this claim so we brought her in to see Dr. Todd.
925,925,"Jack English and his staff specifically Jan and Randal are the epitome of the commercial ""Like a Good Neighbor State Farm Is There""."
926,926,4 star is too little for the place
927,927,I was disappointed that the restaurant wasn't busier.
928,928,"Nice views, but food doesn't match up. Barely neighborhood Italian quality, but with more pretension. Maybe for your tourist friends."
929,929,"My husband and I shared 2 appetizers, one entree and finished with one salad (actually we couldn't finish the salad - full tummies!)"
930,930,None of those frozen little curly-cues.
931,931,We had about 35 guests and did the family-style dinner.
932,932,"Home Depot on Indian Bend, Tatum Blvd and on frank Lloyd blvd are the best."
933,933,The gentleman was actually pretty helpful and nice on the phone.
934,934,"If you want good food and great service, try a different place."
935,935,i nit get a veggie dog.
936,936,The police weren't called which seemed to indicate that the surrounding neighborhood had gotten use to having such an unusual place near them.
937,937,The staff was the best dinning service in my life
938,938,The stuffed mushrooms were stupendous.
939,939,"We've been there several times, and this time was disappointing. Food was not as good as previously, and the service was terrible. The restaurant was half empty, so there was no excuse."
940,940,"if melville is creatively a great whale , this film is canned tuna ."
941,941,Neither the discount section nor the pharmacy/drug store area had 'em. We were sad.
942,942,Food was delicious and innovative. Will definitely go back.
943,943,The food was second to none.
944,944,"After a long night of extreme pain from what I think may have been passing a kidney stone with my head in the bowl, it may have also been a battle of food poisoning from their fine fish tacos."
945,945,I LOVE THIS RESTAURANT. IT'S BEEN MY FAVORITE EVER SINCE THEY OPENED. ALWAYS CONSISTENT AND THERE'S ALWAYS A CELEBRITY TO SEE.
946,946,"parker probably thinks he 's shaking up a classic the way kenneth branagh and baz luhrmann have , but this half-hearted messing-about just makes us miss wilde 's still-contemporary play ."
947,947,I can go shop somewhere else or go online.
948,948,the food was mediocre-the staff was not welcoming-bordering on rude-would not return there
949,949,"To be totally fair, I should add that the people working this event in Scottsdale were beyond nice and pleasant."
950,950,Needless to say I was infuriated!
951,951,The lettuce wasn't washed.
952,952,"an amusing , breezily apolitical documentary about life on the campaign trail ."
953,953,"$12 for a very small glass of house wine is crazy. The chicken was dry, not juicy, tenderfull, and flavorfull."
954,954,a sports movie with action that 's exciting on the field and a story you care about off it .
955,955,"It's the one more expensive place in Madison that I've consistently thought ""this would survive in a bigger city."""
956,956,Great bread indicates a great bakery. It was good.
957,957,"a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience ."
958,958,Finding comfortable fit is a day's labor.
959,959,I rented a pick-up to transport a piece of furniture.
960,960,We enjoyed our veal rack and chop. Dessert was delicious and our lemoncello and port topped it off. Love Pananella.
961,961,I think I've had those before elsewhere
962,962,How can you go wrong with pasta?
963,963,"He deserved a standing ovation, but I spared him that and tipped accordingly."
964,964,I haven't been there in a while but it is being built.
965,965,"The prices are not as great as some are saying, especially for this quality."
966,966,"We have been to Tout Va Bien several times and loved it. The chef must have had the night off, because the food this time was mediocre."
967,967,As good as ever.
968,968,I'm not from around the area but went on yelps advice. it was helpful
969,969,The mixed drink had me wishing I had never gone to the first place and had always bought it from the second one for my entire life.
970,970,When I got the bill to pay the Manager of course he ACCEPTED MY PAYMENT without asking how everything was even though he clearly seen half our meal was not eaten with empty drink cups.
971,971,would seem to have a lock on the title of ugliest movie of the year .
972,972,I thought $13 for three slivers of fluke was a bit much.
973,973,I can't stop thinking about this place.
974,974,The only con is that they don't have high chairs.
975,975,"Jake's was, as usual, up to fine dining! A good time was had by the four of us!"
976,976,"an intimate , good-humored ethnic comedy like numerous others but cuts deeper than expected ."
977,977,Makes me wonder about the food & products.
978,978,To get the reservation was a feat in itself.
979,979,Oh yea try they barley ice...
980,980,Beware the service as they are more interested in training staff right now then providing quality service. Big disappointment. Sushi still good though.
981,981,"the crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us ."
982,982,"The food was mediocre at best. For the same price and better food, try Bonaroti."
983,983,"benefits from a strong performance from zhao , but it 's dong jie 's face you remember at the end ."
984,984,"Very mediocre. Food was nothing special, salad okay but the pasta and flavors boring. Very good chicken Marsala. Not very good Fettucini Alfredo, Veal, Shrimp dishes. We didn't order dessert."
985,985,The tables were as well.
986,986,Really loved it - the food was amazing and the service as attentive but not intrusive. Really great. Everyone should write down all the Top Chef Masters' names and go find their restaurants.
987,987,"These days, I've almost come to expect horrendous customer service from any medical staff."
988,988,"chalk it up to my adoration for both de niro and murphy , but i had a pretty good time with this movie - despite its myriad flaws ."
989,989,Parking in the area is kind of tricky
990,990,It is impossible to love this place!
991,991,very disappointed with the food....vegetables were cold and meat was over done.
992,992,The feeling did not go away on entry...
993,993,"When I finally did, I was like a kid in a candy store."
994,994,Been here twice already.
995,995,I went with 3 friends.
996,996,He was fantastic at being a mean person.
997,997,"Great experience where the food, service and atmosphere all made for a romantic dinner!"
998,998,I get a call that my car DOES NOT need a motor.....GLORY!!
999,999,Look forward to returning to try items off the regular menu.
1000,1000,"it does n't quite deserve the gong , but there are more fascinating acts than `` confessions of a dangerous mind . ''"
1001,1001,Everyone ordered something different and not a morsel was left.
1002,1002,pretentious editing ruins a potentially terrific flick .
1003,1003,"the movie is full of fine performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife ."
1004,1004,"an enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to ."
1005,1005,We arrived at 6:02 for our 6:00 reservation and were seated right away.
1006,1006,This was a Sat.
1007,1007,You can defiantly tell she loves her job. very energetic
1008,1008,"We had just come from a matinee, so we were in no rush."
1009,1009,"If you like steak, order the rib-eye for two."
1010,1010,"But that sitter never showed up, she was completely MIA!"
1011,1011,I'm not sure how I can go back to oysters with just cocktail sauce and lemon after this.
1012,1012,The last great classic French restaurant in Manhattan
1013,1013,The food was average and expensive - $ for $ not worth it. Our waiter was wonderful and the restaurant was very nice.
1014,1014,"Anytime we had concerns or questions, we always got a call back within 24 hrs. That was too long to wait."
1015,1015,"We have tried most of the items on the menu in a quest to find something we didn't like, but we haven't found one yet."
1016,1016,"From the moment I  walked in,15 minutes late, I was thanked for choosing to patronize their salon."
1017,1017,Be prepared to come early on the weekend if you don't want to wait in line.
1018,1018,"no , it 's not nearly as good as any of its influences ."
1019,1019,Parking can be tough.
1020,1020,a charming yet poignant tale of the irrevocable ties that bind .
1021,1021,"the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime ."
1022,1022,We had dinner at Bouchon on a Tuesday night and we were able to make a reservation at 7:30 p.m.
1023,1023,The hole in the burger looks awesome otherwise it will not look great.
1024,1024,I was so Mad!
1025,1025,So he take his sweet time to bring all our refills and sides of ranch.
1026,1026,"yes , you are , ben kingsley ."
1027,1027,it 's haunting .
1028,1028,Was better once they left.
1029,1029,"Again, the story is not ended YET!"
1030,1030,"the additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story ."
1031,1031,I bought a couch from them on 5\9\2018.
1032,1032,I don't quite know what to say about this place.
1033,1033,He did a good job pulling my leg for months after I had sent him thousands of dollars.
1034,1034,"after making several adaptations of other writers ' work , armenian-canadian director atom egoyan broached an original treatment of a deeply personal subject ."
1035,1035,"While the ambience was pleasant and the service, for the most part, attentive, the food was, on the whole, fairly mediocre."
1036,1036,We had Brian as our waiter and he was just terriffic.
1037,1037,I've been there a couple of times before and I liked it. I don't think I'll go back because the food for both my guests was mediocre and the service was terrible.
1038,1038,Mediocre food at reasonable prices. Nice patio in Old Town La Quinta. OK for lunch - not good for dinner.
1039,1039,People say she's a great friend to everyone but they don't know her true nature.
1040,1040,Ordered appetizer that never came. New York Strip steak had a lot of gristle and fat. Doubt I will be back. Can not recommend for dining.
1041,1041,"We called to ask if we could bring our two month old and they assured us it was a free day and that we didn't need to make an appointment, I wish that were the case."
1042,1042,We spent over 2 hours at the mall. It was horrible.
1043,1043,I was 99.99999% certain the TC light would come back on.
1044,1044,This is probably not a huge concern for most people because I sat down and ate the whole thing in 5 minutes.
1045,1045,(It had a pleasant kick) The bar-b-que sauce was superb.
1046,1046,"We love this place. Excellent food, lovely dining room, gracious service with excellent timing."
1047,1047,ja rule and kurupt should have gotten to rap .
1048,1048,go to red lobster.
1049,1049,I had an appointment for a pre surgery appointment a few months ago and was happy to see the girl who always draws my blood was there and as it would turn out she did my chest X-ray and heart monitor thing.
1050,1050,The salad is tossed at the table with a pesto buttermilk dressing to complete your soon to be foodgasm in your mouth.
1051,1051,"if there 's nothing fresh about wannabes , which was written by mr. demeo , who produced and directed the film with charles a. addessi , much of the time the movie feels authentic ."
1052,1052,One of the top places to dine in Las Vegas. The food is excellent - the view is to die for
1053,1053,All though the Ford did work and had way more functioning bells and whistles then the Jag.
1054,1054,"Wine list OK, but the first bottle offered was not of the listed vintage."
1055,1055,The service could have been better.
1056,1056,"the performances are so leaden , michael rymer 's direction is so bloodless and the dialogue is so corny that the audience laughs out loud ."
1057,1057,There's one name that rings loud when it comes to fine dining
1058,1058,We were expecting wonderful friendly staff since it is minutes away from my home but we were surprised it was the oppositie
1059,1059,"While the store does look huge on the outside, it doesn't really feel that spacious inside. It was disappointing."
1060,1060,"So I have finally placed my order - large pizza with chipotle steak, zucchini, and onion."
1061,1061,Don't come here if you're looking for a terrible experience with staff.
1062,1062,Abby provided the best service that we've had after probably two dozen visits. Thank you for making the risotto cake at lunch....Five Stars!
1063,1063,I would hate to not come out here again!
1064,1064,The vegan dish on the menu here contains a lot of seafood.
1065,1065,The menu is a relic of 70s greeb fare that would even make a Wetherspoon's look gourmet.
1066,1066,I had my kids with me and to me as a server I would get it quicker than that.
1067,1067,"Loyal customers, good customers, are treated with abandon here!"
1068,1068,"as an actor , the rock is aptly named ."
1069,1069,"despite a powerful portrayal by binoche , it 's a period romance that suffers from an overly deliberate pace and uneven narrative momentum ."
1070,1070,"However, the baristas have always seemed to be in a decent mood overall and handle having a line to the door and their drive thru very well."
1071,1071,I was not impressed with the flavor of the food and the open room area was too loud for confortable conversation.
1072,1072,The clerk somehow managed to find time to fit us in between filing her nails and calling her boyfriend.
1073,1073,I would gives more try
1074,1074,"The atmosphere was not at all what I expected, it did not feel like a restaurant at all, but like a cozy cookout."
1075,1075,We never did end up in the main dining room but close enough that we did feel more comfortable as opposed to eating in a cafeteria atmoshphere
1076,1076,"Add bacon and then drowned them in butter, which was lovely for a vegan."
1077,1077,"Very few restaurants still offer buffets for brunch and when they do, they are sub-standard."
1078,1078,Lobster's are big and the steaks are well prepared.
1079,1079,merchant effectively translates naipaul 's lively mix of characters from the page to screen .
1080,1080,If u are a smoker this is paradise for u.
1081,1081,The cornbread -we dubbed it the hockey puck.
1082,1082,Reserving via OpenTable I noted it was a special occasion.
1083,1083,"Wonderful spot, great comfort food. All the breads are delicious, and the pig in a poke is a favorite. Stumptown coffee, and glazed donuts to boot! Will definitely return.."
1084,1084,This place is a Greek restaurant in the former Licks location in Pickering. you should try it
1085,1085,HER = Of course.
1086,1086,"Great food -- surprisingly nice ambiance and decor, considering it is below ground level."
1087,1087,It had unbelievably low mileage and was in pristine condition.
1088,1088,what happens to john q ?
1089,1089,this one does .
1090,1090,"was ok
OK!
JUST OK
wine service poor
not the bottle listed on the menu, sadly.
server was very arrogant and never around.
disputed our wine selection!"
1091,1091,Way overpriced. Someone there is thinking too highly of themselves.
1092,1092,I was somewhat disappointed in the presentation of the dinning experience. not organized in my opinion
1093,1093,My Co workers were right.
1094,1094,"On a Friday evening, the place was busy, many families with lots of high energy children."
1095,1095,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for."
1096,1096,I simply can't settle for mediocrity...
1097,1097,They put ice cream on French toast there...if you're someone who would actually eat it.
1098,1098,We had a table that was waaaay to close to the piano/singers...volume was wayyyy too loud-we could not have a conversation. Lasagne was wayyy to cheesy thus salty-disapointing dinner.
1099,1099,I did have an issue getting pictures done there.
1100,1100,"Great food, poor and very snobbish service."
1101,1101,You would have to be a terrible person to have a bad time here.
1102,1102,-lrb- sen 's -rrb- soap opera-ish approach undermines his good intentions .
1103,1103,Very little space between tables.
1104,1104,"gee , a second assassin shot kennedy ?"
1105,1105,I was in a jam and on panic mode after my Expedition failed a smog test due to check engine light being on.
1106,1106,frailty is n't as gory or explicit .
1107,1107,It is authentic Chinese trash.
1108,1108,So loud it was too hard to enjoy the food.
1109,1109,Michael B. doesnt know what he is talking about!
1110,1110,I am a firm believer in you get what you pay for and China Tang is no exception.
1111,1111,"I liked the old place much better.
Did not like sitting in the West dinning area.
I don't believe I will go back again."
1112,1112,"Kitchen was very overloaded due to a large party in the back room. One dish was so sweet to be inedible, restaurant comped that dish, so they did the right thing."
1113,1113,the gantzes ' interviews tend to let the guys off the hook .
1114,1114,the story ... is moldy and obvious .
1115,1115,She tells us to hurry and give her the check cause they are definitely closing... UM....
1116,1116,"Good food, but very spotty service makes me leery of returning to Harvard Sq. location."
1117,1117,The waiters handled the stress very well.
1118,1118,My girlfriend and I could not believe that this tiny place lived up to the hype.
1119,1119,"stevenson 's performance is at once clueless and fiercely committed , a volatile combination ."
1120,1120,"Fantastic salads, mains and cocktails. Dessert was good but not extraordinary"
1121,1121,"The wine selection was so, so."
1122,1122,"Not crazy about the coffee because it tastes like coffee house coffee (strong/bitter)....since I am not reading the newspaper or surfing the web, I don't need liquid coffee bean, I need smooth and relaxing."
1123,1123,I ordered the Pollo con crema and the sauce was thick.
1124,1124,Terrace 55 was our favourite restaurant but the time before this one was not as good as usual and we were a little hesitant about going there again.
1125,1125,I came across this place on Yelp while looking for a different place to eat yesterday with the wife.
1126,1126,"I know another boba spot opened down the road from here, but I'll probably be coming to LOFTTI instead!"
1127,1127,It seemed like they always had some kind of promotion going on.
1128,1128,They treat you like you are the only and most important patient.
1129,1129,"flavorful and romantic , you could call this how martha got her groove back -- assuming , that is , she ever had one to begin with ."
1130,1130,Seriously pedestrian. Not a destination dining place more of a mediocre hotel dining place. The food was ore interesting and tasty in the past.
1131,1131,This place is great if you like rabbit food.
1132,1132,We were uncomfortably cold.
1133,1133,This was the work dining experience my husband and I ever had.
1134,1134,"The most mouth-watering mushroom ravioli Special the nite we went. Should be added to the Menu!

Great Cosmopolitans.

Waiter was pleasant, attentive, helpful and responsive."
1135,1135,the hours is what movies are supposed to be ...
1136,1136,It was excellent because who doesn't love blaring music and microwaved food!
1137,1137,Came here because of all the good reviews.
1138,1138,"but based on cq , i 'll certainly be keeping an eye out for his next project ."
1139,1139,Not to mention watching some extremely brave (or crazy) people jumping off of the building while you have dinner.
1140,1140,Wine list pricey.
1141,1141,They cut corners off the bread they placed with the chicken on the side.
1142,1142,makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran 's borderlands .
1143,1143,The side of creamed spinach that's the texture of baby food has no equals.
1144,1144,"this is a particularly toxic little bonbon , palatable to only a chosen and very jaundiced few ."
1145,1145,Cooking your own food made for a conversation piece and some laughs which was our goal in finding a nice restaurant for our night out.
1146,1146,Doubt very much we`ll be back...
1147,1147,The food was good but the waiter nearly knocked out my friend when opening a glass of 'prosecco' which he got all over us and barely apologized.
1148,1148,I am mostly writing this review for the SCALLOPS.
1149,1149,The restaurant was super dirty and no one pick up the plates from our table so we can have more space for the upcoming food(see my photo(. terrible experience
1150,1150,those with an interest in new or singular sorts of film experiences will find what time is it there ?
1151,1151,"The manager I spoke with was one of the nicest most professional people I have spoken to, I do have to say."
1152,1152,denzel washington 's efforts are sunk by all the sanctimony .
1153,1153,Have had better at top steak houses like Luger or Bryant and Cooper.
1154,1154,For eggs and potatoes!
1155,1155,The only criticism is that we waited too long for our table and the bar is crowded.
1156,1156,Go to Franks or go to Olgas on Baseline in this area.
1157,1157,"After spending the last week eating his leftovers, I've gone up 2 pants sizes, my vision has diminished and I can barely feel my feet."
1158,1158,"But wait, it gets better!"
1159,1159,the am-radio soundtrack and game cast -- tierney and the inimitable walken especially -- keep this unusual comedy from choking on its own conceit .
1160,1160,"began life as a computer game , then morphed into a movie -- a bad one , of course ."
1161,1161,"So, we tried it again."
1162,1162,"The food was just ok, but the service was not. We will not return."
1163,1163,"Scott's--Sacramento is one of our favorite places to dine, and Mon night was no exception."
1164,1164,"It was so crazy, I was super scared, what a haunted house to go to on Holloween!"
1165,1165,"Very nice looking place. Front door staff was very charming and accomodating. Server was mediocre at best. Food was okay, nothing stood out as worth the price"
1166,1166,"My daughter will NOT let anyone else touch her hair, lips or brows!"
1167,1167,"whether kiss is a future cult classic or destined to be completely forgotten is open to question , but the risk-takers in the crowd should check it out and form their own opinion ."
1168,1168,My husbands food came 1 hour before mine.
1169,1169,invincible is a wonderful movie .
1170,1170,A place like this isn't nice and easy.
1171,1171,"With a delicious southern inspired menu and a charming space, Tipsy Parson is a not-to-miss brunch spot. Be sure to try the sticky buns!"
1172,1172,"Generally, I love Taco Bell."
1173,1173,I've been disappointed at many restaurants before but this one never fails me.
1174,1174,Fresh sea food dishes are assume.
1175,1175,"I wanted to go into the bathroom, but it was terrible when I did it."
1176,1176,"this is cool , slick stuff , ready to quench the thirst of an audience that misses the summer blockbusters ."
1177,1177,"helmer devito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' tv and revenge ."
1178,1178,The service and food are second to none.
1179,1179,very clear
1180,1180,"I have been to Cafe Milano a few times before. Unfortunately, it seems that their food and service has deteriorated. I definitley would not recommend it."
1181,1181,"Two other tables were sat before we were sat, we came in first."
1182,1182,The noise is deafening and the food was not up to its reputation.
1183,1183,"There were not very many free TV channels to choose from; basic, local news channels and whatever channel shows like 'Friends' reruns come on."
1184,1184,Coyoacan definitely gets credit for creating a romantic and interesting atmosphere. best at what they do
1185,1185,Turns out she was the actual owner of the store.
1186,1186,a whimsical if predictable time-travel fable marred by a willful single-mindedness .
1187,1187,"in the end , punch-drunk love is one of those films that i wanted to like much more than i actually did ."
1188,1188,Disappointing. Went for Mother's Day Brunch. Some of the servings were tepid or cool. Service was adequate but not what expected of a so called 5 star resort.
1189,1189,This place is a better Panera Bread/Jason's Deli.
1190,1190,"We had lunch. The waiter mis-ordered two out of three meals. the food was good, not great."
1191,1191,"a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia 's film history ."
1192,1192,We went for Crab leg / Oysters Sun.
1193,1193,Delicious food. Great location in beautiful hotel.
1194,1194,If I had to choose though I would go with the halibut next time.
1195,1195,it 's a bittersweet and lyrical mix of elements .
1196,1196,"I made a reservation for 6, we were reduced to 5 but the friends who got there first thought there were only 4."
1197,1197,"Sardine appetizers was excellent. The squab was undercooked. The noise level was very high. As two women ""of a certain age,"" we felt somewhat condescended to by the young wait staff."
1198,1198,So did we.
1199,1199,I believe we had team 3.
1200,1200,"The food was average, nothing special. Tastes were bland, nothing savory or memorable."
1201,1201,We arrived on time with online reservation.
1202,1202,Great setting and crowd. Food and service were very disappointing. Not worth the high prices.
1203,1203,"an elegant , exquisitely modulated psychological thriller ."
1204,1204,We never got any missed calls nor responses to the e-mails we sent to him!
1205,1205,"Certainly nothing special. Service was good, but food was odd. For example, pasta was fresh, but the use of frozen peas was not an inspiring choice."
1206,1206,I will be returning for all my auto service.
1207,1207,"From what I understand it was a quiet night that night, as the dj wasn't present."
1208,1208,"I ordered Daal Makhni for my son, it was not what he wanted but it is all he wants to eat now."
1209,1209,I waited ... waited ... waited for a sales person to help me.
1210,1210,"Service was good, but the food was not good at all. I would never go back."
1211,1211,"If I had one small comment, it would center around the wine service."
1212,1212,So unfortunate...gotta love thieves!
1213,1213,it is less cost
1214,1214,in a word -- yes .
1215,1215,"We tried to order the cheddar potatoes, but they ran out."
1216,1216,The manager wanted us to evaluate each and every part of the meal.
1217,1217,"not as good as we'd expected....very few choices for vegetarians....our service was good, though"
1218,1218,there 's a disturbing ` great white hope ' undertone to the other side of heaven that subtly undermines its message of christian love and compassion .
1219,1219,But what can we do?
1220,1220,de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork .
1221,1221,My husband and I went for our 2nd wedding anniversary.
1222,1222,"If you have been to Destihl for brunch you know none of the menu items are difficult to cook, they are largely egg dishes accompanied by breakfast meats, french toasts, or a hot sandwich."
1223,1223,"Paid nothing as advertised and received 2 drink coupons which was a nice, non-advertised bonus."
1224,1224,"They will tell you what you want to hear, then give you something totally different in person."
1225,1225,I bought a pizza.
1226,1226,I loved the food but the ambiance was very busy and disjointed.
1227,1227,"In most restaurants, when you order veal parmesan, you get a slightly larger medallion size."
1228,1228,Called and spoke with the manager and we arranged to have it looked at this morning. We were very happy.
1229,1229,"just because it really happened to you , honey , does n't mean that it 's interesting to anyone else ."
1230,1230,I even believe their prices are below market value for the quality and size of the food and experience!!!
1231,1231,The mashed potatoes could be called bad only by the king of Ireland.
1232,1232,Did  like me asking quesions.
1233,1233,We got all this food in the matter of 40 minutes.
1234,1234,Tough Lobster Roll.
1235,1235,When we first got there the music was too loud and brash.
1236,1236,Our filets were VERY salty.
1237,1237,"Food was very good, out door garden was very nice. I had asked for something to be added to my entree but the chef would not accommodate this request. Service was horrendous."
1238,1238,"if the message seems more facile than the earlier films , the images have such a terrible beauty you may not care ."
1239,1239,Love this place. Great food and atmosphere. Very NYC. We enjoy going there!
1240,1240,Not nearly as nice as the photos suggest. OK food. Belly dancers.
1241,1241,"Although it seems intuitive, how often is there a stare-down, instead of a throw-down, between the servers and the patrons?"
1242,1242,The table shared a dessert.
1243,1243,"cry havoc and let slip the dogs of cheese , indeed ."
1244,1244,"while the film shuns the glamour or glitz that an american movie might demand , scherfig tosses us a romantic scenario that is just as simplistic as a hollywood production ."
1245,1245,We liked the place. There was no notice or sign about the closure so I'm not quite sure what is going on.
1246,1246,"We went for our 90 day dating anniversary, trying something new and special."
1247,1247,"Tables fairly close together, mushroom appetiser very good, pork entree fair, chicken good."
1248,1248,sucking all the ` classic ' out of robert louis stevenson 's treasure island and filling the void with sci-fi video game graphics and disney-fied adolescent angst ...
1249,1249,THANK GOD FOR NEVADA POWER AND MY SPACE HEATER
1250,1250,So the guys told me they steep the fresh brews for 7min.
1251,1251,I just had to get past what part of the anatomy they came from.
1252,1252,I made a note of that in the comments section when I booked the reservation through Open Table's iPhone App.
1253,1253,"an impossible romance , but we root for the patronized iranian lad ."
1254,1254,"I followed all the specific instructions (sleeping on my back, avoiding steam and not wearing makeup, etc.)."
